Title,Poem,Poet,Genre
The Mysterious Arrival of an Unusual Letter,"It had been a long day at the office and a long ride back to the small apartment where I lived. When I got there I flicked on the light and saw on the table an envelope with my name on it. Where was the clock? Where was the calendar? The handwriting was my father’s, but he had been dead for forty years. As one might, I began to think that maybe, just maybe, he was alive, living a secret life somewhere nearby. How else to explain the envelope? To steady myself, I sat down, opened it, and pulled out the letter. “Dear Son,” was the way it began. “Dear Son” and then nothing.",Mark Strand,Sadness
Cod,"It is the fish that bring them first.Cod in such numbers as to seem endless.Cod to fill the nets and bellies of hungryEuropeans with the tender white flesh.Cod, it seems to them, without end.They fill the ships,salting the fishdown in barrels,til the hull is full,and head back home. This wetcod-fishing goes on foryears, far out in the Banks,with only an occasional stop on land.We dry our fish in the suncure it in smoke-housesand sure enough, theforeigners hearabout it.Soon they needa land baseto dry the codwhich weighs lessthan when wettastes better, tooit is these dreamsof cod thatfirst bringthe Frenchto landdreamsof codthe goldof the seathat willfill their belliesand theirpockets",Cheryl Savageau,Joy
For Edwin Wilson,"Did wind and wave design the albatross's wing, honed compliances: or is it effrontery to suggest that the wing designed the gales and seas: are we guests here, then, with all the gratitude and soft-walking of the guest: provisions and endurances of riverbeds, mountain shoulders, windings through of tulip poplar, grass, and sweet-frosted foxgrape: are we to come into these and leave them as they are: are the rivers in us, and the slopes, ours that the world's imitate, or are we mirrorments merely of a high designing aloof and generous as a host to us: what would become of us if we declined and staked out a level affirmation of our own: we wind the brook into our settlement and husband the wind to our sails and blades: what is to be grateful when let alone to itself, as for a holiday in naturalness: the albatross, ah, fishes the waves with a will beyond the waves' will, and we, to our own doings, put down the rising of sea or mountain slope: except we do not finally put it down: still, till the host appears, we'll make the masters here.",A. R. Ammons,Love
Norroway in February,"The glassy hill I clomb for theeFor surefooted step, hooves behoove the haver. The sky redid blue, the woman wavered,and the black bull (the vanquisher), vanished.She called out to nothing, and in vain shed tears until she reached the glass hill’s impasse. Served her standard fairy tale penance, passim,served her seven to be given ironshoes to — at last — scale the hill, the earnedneared end. Each step conquered territory,at last, the sleeping prince-once-bull, torrid tearing of clothes, tearing on one’s clothes, three nights of thisuntil the prince awakes. How she, exhausted,must have felt in the at long last, the ever after.Happily, I guess, but a long time until laughter.",Hannah Sanghee Park,Sadness
The Desert of Atacama VII,i.  Let's look then at the Desert of Atacamaii. Let's look at our loneliness in the desertSo that desolate before these forms the landscape becomesa cross extended over Chile and the loneliness of my formthen sees the redemption of the other forms:   my ownRedemption in the Desertiii.  Then who would speak of the redemption of my formiv.  Who would tell of the desert's lonelinessSo that my form begins to touch your form and your formthat other form like that until all of Chile is nothing butone form with open arms:   a long form crowned with thornsv.   Then the Cross will be nothing but the opening arms     of my formvi.  We will then be the Crown of Thorns in the Desertvii.  Then   nailed form to form   like a Cross      extended over Chile   we will have seen forever      the Final Solitary Breath of the Desert of Atacama,Raúl Zurita,Surprise
Waking,"It was dusk, the light hesitatingand a murmer in the wind, when the deer, exhausted,turned to look at me, an arrow in its side.Though I pity dreamers, taking a threadand weaving it upon the loom of Self—the secret,gaudy, wonderful new cloth—, I will tell the end of the story.His shoulder was torn, the joint held by one sinew,which I severed with the blade of the arrow,so when he ran there were no impediments.The black dogs that followed were swifter,their barking ancient, despicable.As he fell, his chest turned to breastplate,his one powerful arm covered with pagan signs.Nearly stupid in my waiting for what would happen next,each breath propelling me and him toward dust,I woke, the sheets soaked, heart fluttering—:When death comes into the sleeping room as through a tiny hole,like a rent in the Covenant, it hurts.",Carol Frost,Fear
Jacob,"He dwelt among “apartments let,”       About five stories high; A man I thought that none would get,       And very few would try. A boulder, by a larger stone       Half hidden in the mud, Fair as a man when only one       Is in the neighborhood. He lived unknown, and few could tell       When Jacob was not free; But he has got a wife,—and O!       The difference to me!",Phoebe Cary,Fear
The Midnite Show,"Red-Wigglers, Night-Crawlers& Other Wormslook outinto the crapulous moonlight: figures of women cascading through the Sunday night; no beer in sight. I remember the Night-bloomingCereus by Dr. Thornton, Engraver, Blake’spatron, ithangs in the hall outside the bedroomswaying hungrily like thesegiant white goddesses of the dark grotto… there are touring carsand men with large gunssinging through the woods behind us. ﻿",Jonathan Williams,Fear
Anniversary,"Didn’t I stand there once,  white-knuckled, gripping the just-lit taper,  swearing I’d never go back?  And hadn’t you kissed the rain from my mouth?  And weren’t we gentle and awed and afraid,  knowing we’d stepped from the room of desire  into the further room of love?  And wasn’t it sacred, the sweetness  we licked from each other’s hands?  And were we not lovely, then, were we not  as lovely as thunder, and damp grass, and flame?",Cecilia Woloch,Love
Friday Snow,"Something needs to be done—like dragging a big black plastic sack through the upstairs rooms, emptying into it each waste basket, the trash of three lives for a week or so. I am careful and slow about it, so that this little chore will banish the big ones. But I leave the bag lying on the floor and I go into my daughter’s bedroom, into the north morning light from her windows, and while this minute she is at school counting or spelling a first useful word I sit down on her unmade bed and I look out the windows at nothing for a while, the unmoving buildings—houses and a church—in the cold street.       Across it a dark young man is coming slowly down the white sidewalk with a snowshovel over his shoulder. He’s wearing a light coat, there’s a plastic showercap under his dirty navy blue knit hat, and at a house where the walk hasn’t been cleared he climbs the steps and rings the doorbell and stands waiting, squinting sideways at the wind. Then he half wakes and he says a few words I can’t hear to the storm door that doesn’t open, and he nods his head with the kindly farewell that is a habit he wears as disguise, and he goes back down the steps and on to the next house. All of this in pantomime, the way I see it through windows closed against winter and the faint sounds of winter.       My daughter’s cross-eyed piggy bank is also staring out blankly, and in its belly are four dollar bills that came one at a time from her grandmother and which tomorrow she will pull out of the corked mouthhole. (It’s not like the piggy banks you have to fill before you empty them because to empty them you have to smash them.) Tomorrow she will buy a perfect piece of small furniture for her warm well-lit dollhouse where no one is tired or weak and the wind can’t get in.       Sitting on her bed, looking out, I didn’t see a bundled-up lame child out of school and even turned out of the house for a while, or a blind woman with burns or a sick bald veteran—people who might have walked past stoop-shouldered with what’s happened and will keep happening to them. So much limping is not from physical pain—the pain is gone now, but the leg’s still crooked. The piggy bank and I see only the able young man whose straight back nobody needs.       When he finally gets past where I can see him, it feels as if a kind of music has stopped, and it’s more completely quiet than it was, an emptiness more than a stillness, and I get up from the rumpled bed and I smooth the covers, slowly and carefully, and I look around the room for something to pick up or straighten, and I take a wadded dollar bill from my pocket and put it into the pig and I walk out.",Reginald Gibbons,Fear
Claribel,"Where Claribel low-lieth   The breezes pause and die,   Letting the rose-leaves fall:But the solemn oak-tree sigheth,   Thick-leaved, ambrosial,   With an ancient melody   Of an inward agony,Where Claribel low-lieth.At eve the beetle boometh   Athwart the thicket lone:At noon the wild bee hummeth   About the moss'd headstone:At midnight the moon cometh,   And looketh down alone.Her song the lintwhite swelleth,The clear-voiced mavis dwelleth,   The callow throstle lispeth,The slumbrous wave outwelleth,   The babbling runnel crispeth,The hollow grot replieth   Where Claribel low-lieth.","Alfred, Lord Tennyson",Joy
Poet’s work,Grandfather      advised me:         Learn a tradeI learned   to sit at desk         and condenseNo layoff   from this         condensery,Lorine Niedecker,Fear
American History,"Those four black girls blown upin that Alabama churchremind me of five hundredmiddle passage blacks,in a net, under waterin Charleston harborso redcoats wouldn't find them.Can't find what you can't seecan you?",Michael S. Harper,Fear
O,"Oh, what a lantern, what a lamp of light        Is thy pure word to me To clear my paths and guide my goings right!                  I swore and swear again,        I of the statues will observer be,                  Thou justly dost ordain.   The heavy weights of grief oppress me sore:        Lord, raise me by the word, As thou to me didst promise heretofore.                  And this unforced praise        I for an off’ring bring, accept, O Lord,                  And show to me thy ways.   What if my life lie naked in my hand,        To every chance exposed! Should I forget what thou dost me command?                  No, no, I will not stray        From thy edicts though round about enclosed                  With snares the wicked lay.   Thy testimonies as mine heritage,        I have retained still: And unto them my heart’s delight engage,                  My heart which still doth bend,        And only bend to do what thou dost will,                  And do it to the end.",Mary Sidney Herbert Countess of Pembroke,Sadness
For That He Looked Not upon Her,"You must not wonder, though you think it strange,To see me hold my louring head so low,And that mine eyes take no delight to rangeAbout the gleams which on your face do grow.The mouse which once hath broken out of trapIs seldom ’ticèd with the trustless bait,But lies aloof for fear of more mishap,And feedeth still in doubt of deep deceit.The scorchèd fly, which once hath ’scaped the flame,Will hardly come to play again with fire,Whereby I learn that grievous is the gameWhich follows fancy dazzled by desire: So that I wink or else hold down my head, Because your blazing eyes my bale have bred.",George Gascoigne,Fear
Lepidopteran: A Cento,"Lines and phrases by Vladimir Nabokov, Alan Turing, and Thomas HardyIn    ...    the whitish muslin of a wide-mouthed net,in time of the breaking of nations,and in elementary arithmetic,the lichen-gray primarieskeep in sufficiently close touchas to impose one part of a pattern onto another.The vibrational haloof the string figurespassing from flower to flower,border to border — night-moths of measureless size,circlingamong the young, among the weak and old,hawk-moths at duskhatchingthe war-adept in the mornings — the vibrational halonear the great wingsis not the judgment-hour,only thin smoke without flamewritten on terrestrial things.I confess I do not believe in time.And the highest enjoyment of timelessnessis an imitation game    ...    filled withthe mysteries of mimicry    ...    Butwhen a certain moth resembles a certain waspand a deadly cipherflaps its glad green leaves like wings,what is our solution?Peace on earth and silence in the sky?I think that is notthe faith and fire within us    ...    Still,I look into the depth ofeach breeding-cage,each floating-point formcleft into light and shade,hoping it might be so.",Linda Bierds,Joy
Istanbul 1983,"In the frozen square, the student asks me if I willsell him the books from my backpack. He hides themunder his winter coat. Steam rises from the wholewheat rolls we break open at the breakfast table.We drink hot apple tea and pronounce the skyline“charming.” In a jail a man counts the visible bones,and recounts them in the blaze of morning. To turna self to light proves painful — each piece mustbe dissected in turn; you pass through every feelingimaginable, so many you might make a dictionary — dread to disgust, delight to degradation. The prisonerremembers wanting only to read as if in a fever — running fingers over pyramids of words as if he mighttranslate himself from this life to a more vivid existencein which he cuts open the pages with a knife inplain sight of everyone like a man eating meat andpotatoes at the dinner table. Not that world; this onewhere blue light and sharpened files, where identikitand stamps on passports, where the book in his back-pack is a crime, and I have sold him down the riverfor ideas I barely value — the volumes flung carelesslyacross my hotel room, while he picks mushrooms onthe edge of dread, pallid ghosts of what won’t speakor be spoken. Or where I remember what it is tobe present in the world, and I turn away, unable tobear it — so much light and dread, so much in the darknessgrowing or simply how hard to ever remain in place.",Sheila Black,Sadness
Vapor Trail Reflected in the Frog Pond,"1The old watch: theirthick eyespuff and foreclose by the moon. The young, headstrailed by the beginnings of necks,shiver,in the guarantee they shall be bodies.In the frog pondthe vapor trail of a SAC bomber creeps,I hear its drone, drifting, high upin immaculate ozone.         2And I hear,coming over the hills, America singing,her varied carols I hear:crack of deputies' rifles practicing their aim on stray dogs at night,sput of cattleprod,TV going on about the smells of the human body,curses of the soldier as he poisons, burns, grinds, and stabsthe rice of the world,with open mouth, crying strong, hysterical curses.         3And by paddies in Asiaboneswearing a few shadowswalk down a dirt road, smashedbloodsuckers on their heel, knowingflesh thrown down in the sunshinedogs shall eatand flesh flung into the airshall be seized by birds,shoulder blades smooth, unmarked by old feather-holes,hands riveredby blue, erratic wanderings of the blood,eyes crinkled shut at almost seeingthe drifting sun that gives us our lives.",Galway Kinnell,Joy
Oh God,"spilling water from my back,you call and i come.that exhausted walk to reach youbreathless and no i didn’t runto see you, i’ve been smokingtoo much, same thing. another awkward hug in the caras my face smashes your cheekthat i can feel it leaving nowis the saddest, a beautiful eruptionyou could have picked it off the treeand chowed but you weren’t hungry.feeling it dying away all daymuch worse than the strainingagainst the leash, another gorgeousthing that should not have happened,gone again.",Michelle Tea,Joy
Seventeen Funerals,"Seventeen suns rising in seventeen bedroom windows. Thirty-four eyes blooming open with the light of one more morning. Seventeen reflections in the bathroom mirror. Seventeen backpacks or briefcases stuffed with textbooks or lesson plans. Seventeen good mornings at kitchen breakfasts and seventeen goodbyes at front doors. Seventeen drives through palm-lined streets and miles of crammed highways to Marjory Stoneman Douglas High School at 5901 Pine Island Road. The first bell ringing-in one last school day on February fourteenth, 2018. Seventeen echoes of footsteps down hallways for five class periods: algebra, poetry, biology, art, history. Seventeen hands writing on whiteboards or taking notes at their desks until the first gunshot at 2:21pm. One AR-15 rifle in the hands of a nineteen year old mind turning hate for himself into hate for others, into one-hundred fifty bullets fired in six minutes through building number twelve. Seventeen dead carried down hallways they walked, past cases of trophies they won, flyers for clubs they belonged to, lockers they won’t open again. Seventeen Valentine’s Day dates broken and cards unopened. Seventeen bodies to identify, dozens of photo albums to page through and remember their lives. Seventeen caskets and burial garments to choose for them. Seventeen funerals to attend in twelve days. Seventeen graves dug and headstones placed—all marked with the same date of death. Seventeen names: Alyssa. Helena. Scott. Martin—seventeen absentees forever—Nicholas. Aaron. Jamie. Luke—seventeen closets to clear out—Christopher. Cara. Gina. Joaquin—seventeen empty beds—Alaina. Meadow. Alex. Carmen. Peter—seventeen reasons to rebel with the hope these will be the last seventeen to be taken by one of three-hundred-ninety-three-million guns in America.",Richard Blanco,Surprise
from The Princess: Ask me no more,"Ask me no more: the moon may draw the sea;          The cloud may stoop from heaven and take the shape,          With fold to fold, of mountain or of cape; But O too fond, when have I answer'd thee?                 Ask me no more. Ask me no more: what answer should I give?          I love not hollow cheek or faded eye:          Yet, O my friend, I will not have thee die! Ask me no more, lest I should bid thee live;                 Ask me no more. Ask me no more: thy fate and mine are seal'd:          I strove against the stream and all in vain:          Let the great river take me to the main: No more, dear love, for at a touch I yield;                 Ask me no more.","Alfred, Lord Tennyson",Love
New Hampshire,"1When the loons cry,The night seems blacker,The water deeper.Across the shore:An eyelash-charcoalFringe of pine trees.2The lake reflectsIndefinite pewter,And intermittent thunderLets us knowThe gods are arriving,One valley over.3After the longMelancholy of the fall,One longs for the crispBrass shout of winter—The blaze of firewood,The window’s spillOf parlor lamplightAcross the snow.4Flaring like a matchDropped in a dry patch,One sunset tellsThe spectrum’s story.See the last hunter’sFlashlight dimAs he hurries homeTo his lighted window.",Howard Moss,Fear
Greek Architecture,"Not magnitude, not lavishness, But Form—the Site; Not innovating wilfulness, But reverence for the Archetype.",Herman Melville,Joy
November Night,"Listen. . With faint dry sound, Like steps of passing ghosts, The leaves, frost-crisp'd, break from the trees And fall.",Adelaide Crapsey,Joy
A Walrus Tusk from Alaska,"Arp might have done a version in white marble,the model held aloft, in approximate awe:this tough cross-section oval of tusk,dense and cool as fossil cranium—preliminary bloodshed condonableif Inupiat hunters on King Island mayfollow as their fathers did the bark of a husky,echoes ricocheted from roughed-up eskerson the glacier, a resonance salt-curedand stained deep green by Arctic seas, whose tilting floormirrors the mainland’s snowcapped amphitheater.Which of his elders set Mike Saclamana the taskand taught him to decide, in scrimshaw, what was so?Netted incisions black as an etchingsaw a way to scratch in living infinitivesknown since the Miocene to have animatedthe Bering Strait: one humpback whale, plump,and bardic; an orca caught on the ascending arc,salt droplets flung from a flange of soot-black fin ...Farther along the bone conveyor belt a smallringed seal will never not be swimming, part-timelandlubber, who may feel overshadowed by the donorwalrus ahead. And by his scribal tusk, which standsin direct correspondence to the draftsman’s burin,skillful enough to score their tapeloop ostinato,no harp sonata, but, instead, the humpback whale’syearning bassoon (still audible if you cupthe keepsake to your ear and let it sound the depths).",Alfred Corn,Fear
To a New Sex,"Somewhere out of antiquity someone work with me.When transferring a thought, the connectors and clausesrecede: you get it. I got it — The rest of the language, beauty and playI am your master, the thought says —        I disagreeI’m thinking about the church where weheld my brother’s funeral. He says, I was there:it hurt me; you cried too much; I don’t mindlater. I just want to be with you, the thought saysYou mean thee thought or his thought?The rocks are like stars, gully full of stars.If I go with anyone anywhere, if they’dthink sweetly to me. No one hears. Relax your shoulders.I’m singing to you over and over “to a new sex.”Sometimes it seems like there’s a lizard for each rocknecklaces of lives,   there’s room for an infinity of minds. Thoughts. Anywhere. Enter my headif you wish. No ends or purposesPrevailed fortunes. I have a destiny. My deathwill not complete it.",Alice Notley,Sadness
In the Kitchen,"Early in the morning a dough rises from the bowlcurling upward.He clenches his fists of bean paste, his mouthdripping a black cocoa stream    ...    Hey, I say, have you just smugglednine knife mountains and nine oil pans from hell?Deep-fried ghosts are the sweetest the crispiest the most intelligenteven in burned rims, and taste even better with soybean drinks.He droops his sad expressionslike Oedipus’s crutch.Collapsed in the steamer, he squeaks out a sweet smellof duck soup from his soul — quack, quack.  Translated from the Chinese",Chen Jun,Sadness
lynette #1,grandmayou flew onceover mount taranakiand landedon fanthams peakbefore the snow fellall over your cityand when they looked upthey thought they saw an angelbut it was just you on your way homefrom the supermarket and your feet needed a rest,Faith Wilson,Anger
Drought,"Try to remember: things go wrong in spite of it all. I listen to our daughters singing in the crackling rows of corn and wonder why I don't love them more. They move like dark birds, small mouths open to the sky and hungry. All afternoon I listen to the highway and watch clouds push down over the hills. I remember your legs, heavy with sleep, lying across mine. I remember when the world was transparent, trembling, all shattering light. I had to grit my teeth against its brilliance. It was nothing like this stillness that makes it difficult to lift my eyes. When I finally do, I see you carrying the girls over the sharp stones of the creek bed. When they pull at my clothes and lean against my arms, I don't know what to do and do nothing.",Felecia Caton Garcia,Fear
"my dad asks, ""how come black folk can't just write about flowers?""","bijan been dead 11 months & my blue margin reduced to arterial, there’s a party at my house, a house held by legislation vocabulary & trill. but hell, it’s ours & it sparkle on the corner of view park, a channel of blk electric. danny wants to walk to the ledge up the block, & we an open river of flex: we know what time it is. on the ledge, folk give up neck & dismantle gray navigation for some slice of body. it’s june. it’s what we do. walk down the middle of our road, & given view park, a lining of dubois’ 10th, a jack n jill feast, & good blk area, it be our road. we own it. I’m sayin’ with money. our milk neighbors, collaborate in the happy task of surveillance. they new. they pivot function. they call the khaki uniforms. i swift. review the architecture of desire spun clean, & I could see how we all look like ghosts. 3 squad cars roll up at my door & it’s a fucking joke cuz exactly no squad cars rolled up to the mcdonald’s bijan was shot at & exactly no squad cars rolled up to find the murders & exactly no one did what could be categorized as they “job,” depending on how you define time spent for money earned for property & it didn’t make me feel like I could see less of the gun in her holster because she was blk & short & a woman, too. she go, this your house? I say yeah. she go,can you prove it? It say it mine. she go ID? I say it mine. she go backup on the sly& interview me going all what’s your address—don’t look!& hugh say I feel wild disrespected. & white go can you explain that? & danny say how far the nearest precinct? & christian say fuck that. & white go can you explain that? I cross my arms. I’m bored & headlights quit being interesting after I called 911 when I was 2 years old because it was the only phone number I knew by heart.",Aziza Barnes,Fear
The Meaning of the Shovel,"—Barrio René CisnerosManagua, Nicaragua, June-July 1982This was the dictator’s landbefore the revolution.Now the dictator is exiled to necropolis,his army brooding in camps on the border,and the congregation of the landlessstipples the earth with a thousand shacks,every weatherbeaten carpenterplanting a fistful of nails.Here I dig latrines. I dig because last weekI saw a funeral in the streets of Managua,the coffin swaddled in a red and black flag,hoisted by a procession so silentthat even their feet seemedto leave no sound on the gravel.He was eighteen, with the border patrol,when a sharpshooter from the dictator’s armytook aim at the back of his head.I dig because yesterdayI saw four walls of photographs:the faces of volunteersin high school uniformswho taught campesinos to read,bringing an alphabetsandwiched in notebooksto places where the mist never risesfrom the trees. All dead,by malaria or the greedy riveror the dictator’s armyswarming the illiterate villageslike a sky full of corn-plundering birds.I dig because today, in this barriowithout plumbing, I saw a womanwearing a yellow dressclimb into a barrel of waterto wash herself and the dressat the same time,her cupped hands spilling.I dig because today I stopped diggingto drink an orange soda. In a countrywith no glass, the boy kept the treasured bottleand poured the liquid into a plastic bagfull of ice, then poked a hole with a straw.I dig because today my shovelstruck a clay bowl centuries old,the art of ancient fingersmoist with this same earth,perfect but for one crack in the lip.I dig because I have hauled garbageand pumped gas and cut paperand sold encyclopedias door to door.I dig, digging until the passportin my back pocket saturates with dirt,because here I work for nothingand for everything.",Martín Espada,Fear
Governor’s Place,"The great house birch with its girth he never quitecould get his arms around, long felled, at lastonly its bark like a larva’s husk in grassleaning neck-high, hollow below mansards.He does not live in the peeling mansion, buta more-than-ample keeper’s cottage beyondrolled lawns and relics of Victorian elmswhere he muses in his study alcove. Touchesthe ancient coins, silver or bronze, their gleamon the baize-topped writing table — proud Athenahelmeted; her owl agog beneath. Eternityglimpsed in the boy ruler Gordian’s profile,copper green.                          Trees on guard in broweddignity now the seething barrack of bees.Nearby a maple twisted by wind for decadesspirals, a stair winding above the coneof shade. In his covert the son, reading Herodotus,Suetonius — staggering run of drachmas,staters, tetradrachms, glinting in rows.",Stephen Sandy,Joy
The Lovers,I was always afraidof the next cardthe psychic would turnover for us—                              Forgive mefor not knowinghow we wereevery card in the deck.,Timothy Liu,Fear
Butter,"My mother loves butter more than I do,more than anyone. She pulls chunks offthe stick and eats it plain, explainingcream spun around into butter! Growing upwe ate turkey cutlets sauteed in lemonand butter, butter and cheese on green noodles,butter melting in small pools in the heartsof Yorkshire puddings, butter betterthan gravy staining white rice yellow,butter glazing corn in slipping squares,butter the lava in white volcanoesof hominy grits, butter softeningin a white bowl to be creamed with whitesugar, butter disappearing intowhipped sweet potatoes, with pineapple,butter melted and curdy to pourover pancakes, butter licked off the platewith warm Alaga syrup. When I picturethe good old days I am grinning greasywith my brother, having watched the tigerchase his tail and turn to butter. We areMumbo and Jumbo’s children despite   historical revision, despiteour parent’s efforts, glowing from the insideout, one hundred megawatts of butter.",Elizabeth Alexander,Joy
Duende,"An hour inland from Bangor, Maine,over rolling hills, in an oval pasturesurrounded by giant conifers,the forest floor bejeweledwith ruby-studded mushrooms,I watch the sheep sing,if bleating could be called a song.Maybe someone in a grove long agosaw a man attached to a beastof burden and so the conceptof the satyr was born. Memory isthe past reversed. I oncewent out with a sailor, a Spaniard,from Andalucía. We met at seawhere I worked the roulette wheelin the ship’s casino. His legswere slightly bowed, his voicegruff and torn, and when he camethe sound seemed to climb upnot from his throat but from his feetsmelling of earth and sea and grief—a deep song Lorca called duende.It wasn’t pretty. His blue and redand purple briefs soaking in a bucketby the cabin door. He told me oncewhen he was a boy his grandmotherhad caught him trying to fucka chicken. The poor chicken,he laughed, his saddle-worn Andalucíanlaugh, feathers flying everywhere, hisgrandmother screaming. And whatto call those half-human, half-chickenkinds of days: scratching and clawingat the earth, bathed in dust,trying not to think about the simmeringanise, peppercorn, and broth.When I visited him, he met meat the airport. Then the long train ride south through field after fieldof sunflowers. Por la tarde familiesparaded, por la noche, only menand boys and extranjeras—foreign women—out past sunset. In an empty disco sixor seven guys danced, throwing themselvesaround madly, slamming into eachother to Blondie’s “Heart of Glass.”Franco had died a few years back.From my window that night, a full moon,shadows of the town square, the boarded-upcathedral, a cat in heat, the smellof blood oranges. In the morninghis grandmother, all in black,asleep stooped in a chair outsidemy door. Nearby the ruins of an ancientRoman temple, goats on hind legseating the pale green leaves from olive trees.",Catherine Bowman,Fear
The Salt Stronger,"I have seen the legislatorson their way,the jacketless menin mid-winter who will casttheir votes like stones for this war. Men who have to cross the streetthrough slushand over gutter, their cuffsnow vaguely blued with a saltthat dries in dots where it splashes, and mingles with the finelywoven clothof the chalk-stripe suits,the soi-disant practical men,you can see them now tiptoeing, now leaping, balletic, windsor-knotted,fragrantand shaved,they pass, they passthe window of the Capitol Deli wherein I am writing to my friendin Baghdad,he a “witness for peace,”a poet who for years has wonderedwhat good poetry is or has been or does. I compose today’s answer from here,saying,I think of poetryas a salt dug from a foreign mine",Fred Marchant,Joy
The Vain Advice,"Ah, gaze not on those eyes! forbear  That soft enchanting voice to hear:Not looks of basilisks give surer death,Nor Syrens sing with more destructive breath.  Fly, if thy freedom thou’dst maintain,  Alas! I feel th’advice is vain!A heart, whose safety but in flight does lie,Is too far lost to have the power to fly.",Catherine Cockburn,Sadness
Degrees of Gray in Philipsburg,"You might come here Sunday on a whim.   Say your life broke down. The last good kiss   you had was years ago. You walk these streets   laid out by the insane, past hotels   that didn’t last, bars that did, the tortured try   of local drivers to accelerate their lives.   Only churches are kept up. The jail   turned 70 this year. The only prisoner   is always in, not knowing what he’s done.The principal supporting business now   is rage. Hatred of the various grays   the mountain sends, hatred of the mill,   The Silver Bill repeal, the best liked girls   who leave each year for Butte. One good   restaurant and bars can’t wipe the boredom out.   The 1907 boom, eight going silver mines,   a dance floor built on springs—all memory resolves itself in gaze,in panoramic green you know the cattle eat   or two stacks high above the town,   two dead kilns, the huge mill in collapse   for fifty years that won’t fall finally down.Isn’t this your life? That ancient kissstill burning out your eyes? Isn’t this defeatso accurate, the church bell simply seemsa pure announcement: ring and no one comes?   Don’t empty houses ring? Are magnesium   and scorn sufficient to support a town,   not just Philipsburg, but townsof towering blondes, good jazz and booze   the world will never let you haveuntil the town you came from dies inside?Say no to yourself. The old man, twenty   when the jail was built, still laughs   although his lips collapse. Someday soon,   he says, I’ll go to sleep and not wake up.   You tell him no. You’re talking to yourself.   The car that brought you here still runs.   The money you buy lunch with,no matter where it’s mined, is silver   and the girl who serves your foodis slender and her red hair lights the wall.",Richard Hugo,Love
Holiday Concert,"Forgive us. We have dragged them into the night in taffeta dresses, in stiff collars and ties, with the wind damp, the sleet raking their cheeks,to school lunchrooms fitted with makeshift stages where we will sit under bad fluorescent lighting on folding chairs, and they will sing and play.We will watch the first grader with little cymbals, bending her knees, hunched in concentration while neighbors snicker at her ardent face.Forgive us. We will hear the seventh-grade boy as his voice finally loses its innocence forever, at the unbearable solo momentand know that now, for years, he will wince at the thought of singing, yet will ache to sing, in silence,silence even to the generation to comewith its night, its sleet, its hideous lunchroom chairs.",Maryann Corbett,Sadness
Kind,"When I think of my kindness which is tentative and quietAnd of yours which is intense and free,I am in elaboration of knowledge impatientOf even the patientest immobility.I think of my kind, which is the human fortuneTo live in the world and make war among its friends,And of my version, which is to be moderately peaceful,And of your version; and must make amendsBy my slow word to your wish which is mobile,Active and moving in its generous sphere.This is the natural and the supernaturalOf humankind of which I grow aware.",Josephine Miles,Joy
Prologue,"To sing of Wars, of Captains, and of Kings, Of Cities founded, Common-wealths begun, For my mean Pen are too superior things; Or how they all, or each their dates have run, Let Poets and Historians set these forth. My obscure lines shall not so dim their worth. But when my wond’ring eyes and envious heart Great Bartas’ sugar’d lines do but read o’er, Fool, I do grudge the Muses did not part ‘Twixt him and me that over-fluent store. A Bartas can do what a Bartas will But simple I according to my skill. From School-boy’s tongue no Rhet’ric we expect, Nor yet a sweet Consort from broken strings, Nor perfect beauty where’s a main defect. My foolish, broken, blemished Muse so sings, And this to mend, alas, no Art is able, ‘Cause Nature made it so irreparable. Nor can I, like that fluent sweet-tongued Greek Who lisp’d at first, in future times speak plain. By Art he gladly found what he did seek, A full requital of his striving pain. Art can do much, but this maxim’s most sure: A weak or wounded brain admits no cure. I am obnoxious to each carping tongue Who says my hand a needle better fits. A Poet’s Pen all scorn I should thus wrong, For such despite they cast on female wits. If what I do prove well, it won’t advance, They’ll say it’s stol’n, or else it was by chance. But sure the antique Greeks were far more mild, Else of our Sex, why feigned they those nine And poesy made Calliope’s own child? So ‘mongst the rest they placed the Arts divine, But this weak knot they will full soon untie. The Greeks did nought but play the fools and lie. Let Greeks be Greeks, and Women what they are. Men have precedency and still excel; It is but vain unjustly to wage war. Men can do best, and Women know it well. Preeminence in all and each is yours; Yet grant some small acknowledgement of ours. And oh ye high flown quills that soar the skies, And ever with your prey still catch your praise, If e’er you deign these lowly lines your eyes, Give thyme or Parsley wreath, I ask no Bays. This mean and unrefined ore of mine Will make your glist’ring gold but more to shine.",Anne Bradstreet,Anger
Three Blue Butterflies,I. MORPHO MENELAUS Foiled acqua-moiré wings thebutterfly’s beauty-mark hydraulic in itspurposes   hishair’s flame liftsyou snarls you II. MORPHO ACHILLES Sea-bed in semaphore / aneyepiece     wing-spandelft dye vat-dipped shinglescintilla        :        truantand acclimate     enfoldor infuriate:     SOS:Don’t surroundDon’t surroundyourself with yourself III. MORPHO RHETENOR HELENA Neon heather sky-lit bluer than moiré: inseam of streettrash     lush mask- contour     soul-strait fungible as raiment in thecrawlspace     radiating amatory birds’egg bulls-eye,Christina Pugh,Surprise
